ticker,cik,sic,ff12,ff48,ff49,ff_label,sic_desc
MCK,927653,5122.0,9,-1,-1,Shops,
RACE,1648416,3711.0,2,-1,-1,Durbl,
GLD,1222333,6221.0,11,-1,-1,Money,
GD,40533,3730.0,3,-1,-1,Manuf,
RELX,929869,7389.0,12,-1,-1,Other,
MGCLY,2039784,,12,-1,-1,Other,
SCCO,1001838,1000.0,12,-1,-1,Other,
NEM,1164727,1040.0,12,-1,-1,Other,
MFG,1335730,6021.0,11,-1,-1,Money,
GSK,1131399,2834.0,10,-1,-1,Hlth,
DELL,1571996,3571.0,6,-1,-1,BusEq,
COIN,1679788,6199.0,11,-1,-1,Money,
NOC,1133421,3812.0,6,-1,-1,BusEq,
MMM,66740,3841.0,10,-1,-1,Hlth,
CTAS,723254,2320.0,1,-1,-1,NoDur,
MDLZ,1103982,2000.0,1,-1,-1,NoDur,
CI,1739940,6324.0,11,-1,-1,Money,
TRI,1075124,2741.0,1,-1,-1,NoDur,
MSI,68505,3663.0,6,-1,-1,BusEq,
BNS,9631,6022.0,11,-1,-1,Money,
AON,315293,6411.0,11,-1,-1,Money,
PNC,713676,6021.0,11,-1,-1,Money,
SNOW,1640147,7372.0,6,-1,-1,BusEq,
APO,1858681,6282.0,11,-1,-1,Money,
ECL,31462,2840.0,5,-1,-1,Chems,
AEM,2809,1040.0,12,-1,-1,Other,
AJG,354190,6411.0,11,-1,-1,Money,
ITW,49826,3560.0,3,-1,-1,Manuf,
EQIX,1101239,6798.0,11,-1,-1,Money,
NET,1477333,7372.0,6,-1,-1,BusEq,
PBR,1119639,1311.0,4,-1,-1,Enrgy,
ABNB,1559720,7340.0,12,-1,-1,Other,
USB,36104,6021.0,11,-1,-1,Money,
NU,1691493,6199.0,11,-1,-1,Money,
CRH,849395,3241.0,3,-1,-1,Manuf,
EMR,32604,3600.0,3,-1,-1,Manuf,
FI,798354,7389.0,12,-1,-1,Other,
BK,1390777,6022.0,11,-1,-1,Money,
TDG,1260221,3728.0,3,-1,-1,Manuf,
CM,1045520,6029.0,11,-1,-1,Money,
HWM,4281,3350.0,3,-1,-1,Manuf,
UPS,1090727,4210.0,12,-1,-1,Other,
AZO,866787,5531.0,9,-1,-1,Shops,
MAR,1048286,7011.0,12,-1,-1,Other,
ITUB,1132597,6022.0,11,-1,-1,Money,
RSG,1060391,4953.0,12,-1,-1,Other,
BAESY,895564,,12,-1,-1,Other,
BCS,312069,6029.0,11,-1,-1,Money,
ING,1039765,6029.0,11,-1,-1,Money,
ELV,1156039,6324.0,11,-1,-1,Money,
INFY,1067491,7371.0,6,-1,-1,BusEq,
NGG,1004315,4922.0,8,-1,-1,Utils,
WMB,107263,4922.0,8,-1,-1,Utils,
JCI,833444,3585.0,3,-1,-1,Manuf,
ADSK,769397,7372.0,6,-1,-1,BusEq,
DB,1159508,6022.0,11,-1,-1,Money,
CP,16875,4011.0,12,-1,-1,Other,
EPD,1061219,4922.0,8,-1,-1,Utils,
CL,21665,2844.0,5,-1,-1,Chems,
ZTS,1555280,2834.0,10,-1,-1,Hlth,
SPG,1063761,6798.0,11,-1,-1,Money,
IAU,1278680,6221.0,11,-1,-1,Money,
LYG,1160106,6029.0,11,-1,-1,Money,
HLT,1585689,7011.0,12,-1,-1,Other,
PYPL,1633917,7389.0,12,-1,-1,Other,
CNQ,1017413,1311.0,4,-1,-1,Enrgy,
EOG,821189,1311.0,4,-1,-1,Enrgy,
APD,2969,2810.0,5,-1,-1,Chems,
ALNY,1178670,2834.0,10,-1,-1,Hlth,
ATEYY,1158838,3674.0,6,-1,-1,BusEq,
FCX,831259,1000.0,12,-1,-1,Other,
VST,1692819,4911.0,8,-1,-1,Utils,
GLW,24741,3357.0,3,-1,-1,Manuf,
MNST,865752,2086.0,1,-1,-1,NoDur,
URI,1067701,7359.0,12,-1,-1,Other,
NSC,702165,4011.0,12,-1,-1,Other,
TRV,86312,6331.0,11,-1,-1,Money,
FTNT,1262039,3577.0,6,-1,-1,BusEq,
EQNR,1140625,2911.0,4,-1,-1,Enrgy,
WDAY,1327811,7374.0,6,-1,-1,BusEq,
GBTC,1588489,6221.0,11,-1,-1,Money,
TEL,1385157,5065.0,9,-1,-1,Shops,
